provider,region,city,country,continent,lat,lon
Azure,northeurope,Dublin,Ireland,Europe,53.35,-6.26
Azure,westeurope,Amsterdam,Netherlands,Europe,52.37,4.90
Azure,uksouth,London,United Kingdom,Europe,51.51,-0.13
Azure,ukwest,Cardiff,United Kingdom,Europe,51.48,-3.18
Azure,francecentral,Paris,France,Europe,48.86,2.35
Azure,francesouth,Marseille,France,Europe,43.30,5.37
Azure,germanywestcentral,Frankfurt,Germany,Europe,50.11,8.68
Azure,germanynorth,Berlin,Germany,Europe,52.52,13.40
Azure,switzerlandnorth,Zurich,Switzerland,Europe,47.37,8.54
Azure,switzerlandwest,Geneva,Switzerland,Europe,46.20,6.14
Azure,norwayeast,Oslo,Norway,Europe,59.91,10.75
Azure,norwaywest,Stavanger,Norway,Europe,58.97,5.73
Azure,swedencentral,Gavle,Sweden,Europe,60.67,17.14
Azure,polandcentral,Warsaw,Poland,Europe,52.23,21.01
Azure,italynorth,Milan,Italy,Europe,45.46,9.19
Azure,spaincentral,Madrid,Spain,Europe,40.42,-3.70
Azure,uaenorth,Dubai,United Arab Emirates,Middle East,25.20,55.27
Azure,uaecentral,Abu Dhabi,United Arab Emirates,Middle East,24.45,54.38
Azure,qatarcentral,Doha,Qatar,Middle East,25.29,51.53
Azure,israelcentral,Tel Aviv,Israel,Middle East,32.08,34.78
Azure,southafricanorth,Johannesburg,South Africa,Africa,-26.20,28.05
Azure,southafricawest,Cape Town,South Africa,Africa,-33.92,18.42
Azure,australiaeast,Sydney,Australia,Oceania,-33.87,151.21
Azure,australiasoutheast,Melbourne,Australia,Oceania,-37.81,144.96
Azure,australiacentral,Canberra,Australia,Oceania,-35.28,149.13
Azure,australiacentral2,Canberra,Australia,Oceania,-35.31,149.15
Azure,eastasia,Hong Kong,Hong Kong,Asia,22.32,114.17
Azure,southeastasia,Singapore,Singapore,Asia,1.35,103.82
Azure,japaneast,Tokyo,Japan,Asia,35.68,139.69
Azure,japanwest,Osaka,Japan,Asia,34.69,135.50
Azure,koreacentral,Seoul,South Korea,Asia,37.57,126.98
Azure,koreasouth,Busan,South Korea,Asia,35.18,129.08
Azure,centralindia,Pune,India,Asia,18.52,73.86
Azure,southindia,Chennai,India,Asia,13.08,80.27
Azure,jioindiacentral,Nagpur,India,Asia,21.15,79.09
Azure,jioindiawest,Jamnagar,India,Asia,22.47,70.06
Azure,indonesiacentral,Jakarta,Indonesia,Asia,-6.21,106.85
Azure,malaysiawest,Kuala Lumpur,Malaysia,Asia,3.14,101.69
Azure,usgovvirginia,US Gov Virginia,United States,North America,38.90,-77.50
Azure,usgovarizona,US Gov Arizona,United States,North America,33.50,-112.10
GCP,us-central1,Council Bluffs (Iowa),United States,North America,41.26,-95.86
GCP,us-east1,Moncks Corner (South Carolina),United States,North America,33.20,-80.01
GCP,us-east4,Ashburn (Virginia),United States,North America,39.04,-77.49
GCP,us-east5,Columbus (Ohio),United States,North America,39.96,-83.00
GCP,us-south1,Dallas,United States,North America,32.78,-96.80
GCP,us-west1,The Dalles (Oregon),United States,North America,45.59,-121.18
GCP,us-west2,Los Angeles,United States,North America,34.05,-118.24
GCP,us-west3,Salt Lake City,United States,North America,40.76,-111.89
GCP,us-west4,Las Vegas,United States,North America,36.17,-115.14
GCP,northamerica-northeast1,Montreal,Canada,North America,45.50,-73.57
GCP,northamerica-northeast2,Toronto,Canada,North America,43.65,-79.38
GCP,northamerica-south1,Queretaro,Mexico,North America,20.59,-100.39
GCP,southamerica-east1,Sao Paulo,Brazil,South America,-23.55,-46.63
GCP,southamerica-west1,Santiago,Chile,South America,-33.45,-70.67
GCP,europe-west1,St. Ghislain,Belgium,Europe,50.45,3.82
GCP,europe-west2,London,United Kingdom,Europe,51.51,-0.13
GCP,europe-west3,Frankfurt,Germany,Europe,50.11,8.68
GCP,europe-west4,Eemshaven,Netherlands,Europe,53.44,6.83
GCP,europe-west6,Zurich,Switzerland,Europe,47.37,8.54
GCP,europe-west8,Milan,Italy,Europe,45.46,9.19
GCP,europe-west9,Paris,France,Europe,48.86,2.35
GCP,europe-west10,Berlin,Germany,Europe,52.52,13.40
GCP,europe-west12,Turin,Italy,Europe,45.07,7.69
GCP,europe-north1,Hamina,Finland,Europe,60.57,27.19
GCP,europe-north2,Stockholm,Sweden,Europe,59.33,18.07
GCP,europe-central2,Warsaw,Poland,Europe,52.23,21.01
GCP,europe-southwest1,Madrid,Spain,Europe,40.42,-3.70
GCP,me-west1,Tel Aviv,Israel,Middle East,32.08,34.78
GCP,me-central1,Doha,Qatar,Middle East,25.29,51.53
GCP,me-central2,Dammam,Saudi Arabia,Middle East,26.43,50.10
GCP,africa-south1,Johannesburg,South Africa,Africa,-26.20,28.05
GCP,asia-east1,Changhua County,Taiwan,Asia,24.05,120.52
GCP,asia-east2,Hong Kong,Hong Kong,Asia,22.32,114.17
GCP,asia-northeast1,Tokyo,Japan,Asia,35.68,139.69
GCP,asia-northeast2,Osaka,Japan,Asia,34.69,135.50
GCP,asia-northeast3,Seoul,South Korea,Asia,37.57,126.98
GCP,asia-south1,Mumbai,India,Asia,19.08,72.88
GCP,asia-south2,Delhi,India,Asia,28.61,77.21
GCP,asia-southeast1,Jurong West,Singapore,Asia,1.35,103.82
GCP,asia-southeast2,Jakarta,Indonesia,Asia,-6.21,106.85
GCP,australia-southeast1,Sydney,Australia,Oceania,-33.87,151.21
GCP,australia-southeast2,Melbourne,Australia,Oceania,-37.81,144.96
